S0; delta
50;0.165983
51;0.165983
52;0.165983
53;0.165983
54;0.165983
55;0.165983
56;0.165983
57;0.165983
58;0.165983
59;0.165983
60;0.165983
61;0.165983
62;0.165983
63;0.165983
64;0.165983
65;0.165983
66;0.165983
67;0.165983
68;0.165983
69;0.165983
70;0.165983
71;0.165983
72;0.165983
73;0.165983
74;0.165983
75;0.165983
76;0.165983
77;0.165983
78;0.165983
79;0.165983
80;0.165983
81;0.165983
82;0.165983
83;0.165983
84;0.165983
85;0.165983
86;0.165983
87;0.165983
88;0.165983
89;0.165983
90;0.165983
91;0.165983
92;0.165983
93;0.165983
94;0.165983
95;0.165983
96;0.165983
97;0.165983
98;0.165983
99;0.165983
100;0.165983
101;0.165983
102;0.165983
103;0.165983
104;0.165983
105;0.165983
106;0.165983
107;0.165983
108;0.165983
109;0.165983
110;0.165983
111;0.165983
112;0.165983
113;0.165983
114;0.165983
115;0.165983
116;0.165983
117;0.165983
118;0.165983
119;0.165983
120;0.165983
121;0.165983
122;0.165983
123;0.165983
124;0.165983
125;0.165983
126;0.165983
127;0.165983
128;0.165983
129;0.165983
130;0.165983
131;0.165983
132;0.165983
133;0.165983
134;0.165983
135;0.165983
136;0.165983
137;0.165983
138;0.165983
139;0.165983
140;0.165983
141;0.165983
142;0.165983
143;0.165983
144;0.165983
145;0.165983
146;0.165983
147;0.165983
148;0.165983
149;0.165983
150;0.165983
