S0; Price
50;829.915
51;846.514
52;863.112
53;87.971
54;896.309
55;912.907
56;929.505
57;946.104
58;962.702
59;9.793
60;995.899
61;10.125
62;10.291
63;104.569
64;106.229
65;107.889
66;109.549
67;111.209
68;112.868
69;114.528
70;116.188
71;117.848
72;119.508
73;121.168
74;122.827
75;124.487
76;126.147
77;127.807
78;129.467
79;131.127
80;132.786
81;134.446
82;136.106
83;137.766
84;139.426
85;141.086
86;142.745
87;144.405
88;146.065
89;147.725
90;149.385
91;151.045
92;152.704
93;154.364
94;156.024
95;157.684
96;159.344
97;161.004
98;162.663
99;164.323
100;165.983
101;167.643
102;169.303
103;170.963
104;172.622
105;174.282
106;175.942
107;177.602
108;179.262
109;180.922
110;182.581
111;184.241
112;185.901
113;187.561
114;189.221
115;190.881
116;19.254
117;19.42
118;19.586
119;19.752
120;19.918
121;20.084
122;202.499
123;204.159
124;205.819
125;207.479
126;209.139
127;210.799
128;212.458
129;214.118
130;215.778
131;217.438
132;219.098
133;220.758
134;222.417
135;224.077
136;225.737
137;227.397
138;229.057
139;230.716
140;232.376
141;234.036
142;235.696
143;237.356
144;239.016
145;240.675
146;242.335
147;243.995
148;245.655
149;247.315
150;248.975
