S0; Price
50;671.274
51;684.699
52;698.125
53;71.155
54;724.976
55;738.401
56;751.827
57;765.252
58;778.677
59;792.103
60;805.528
61;818.954
62;832.379
63;845.805
64;85.923
65;872.656
66;886.081
67;899.507
68;912.932
69;926.358
70;939.783
71;953.209
72;966.634
73;98.006
74;993.485
75;100.691
76;102.034
77;103.376
78;104.719
79;106.061
80;107.404
81;108.746
82;110.089
83;111.431
84;112.774
85;114.117
86;115.459
87;116.802
88;118.144
89;119.487
90;120.829
91;122.172
92;123.514
93;124.857
94;126.199
95;127.542
96;128.885
97;130.227
98;13.157
99;132.912
100;134.255
101;135.597
102;13.694
103;138.282
104;139.625
105;140.967
106;14.231
107;143.653
108;144.995
109;146.338
110;14.768
111;149.023
112;150.365
113;151.708
114;15.305
115;154.393
116;155.735
117;157.078
118;158.421
119;159.763
120;161.106
121;162.448
122;163.791
123;165.133
124;166.476
125;167.818
126;169.161
127;170.504
128;171.846
129;173.189
130;174.531
131;175.874
132;177.216
133;178.559
134;179.901
135;181.244
136;182.586
137;183.929
138;185.272
139;186.614
140;187.957
141;189.299
142;190.642
143;191.984
144;193.327
145;194.669
146;196.012
147;197.354
148;198.697
149;20.004
150;201.382
